news,fakeness
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/Zxfu0LeYMk,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/uzjMn8x17V,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/H21VOBe1pe,1
RT @ForBJPGujarat: #WomenLedDevelopment https://t.co/UVPNNESUYO,1
RT @ForBJPGujarat: Committed to women's health and well-being #WomenLedDevelopment https://t.co/GnmRjUSosr,1
RT @ForBJPGujarat: Quality of care &amp; laws protecting women from violence are imperatives of a healthy nation #WomenLedDevelopment,1
RT @ForBJPGujarat: Boys and girls- both should get equal access to education: PM @narendramodi,1
RT @ForBJPGujarat: India's spirituality is its strength but unfortunately some people link it to religion: PM @narendramodi,1
RT @ForBJPGujarat: Global political and business leaders have supported the demonetisation move: PM @narendramodi,1
RT @BJP4Gujarat: The poor gain the most when we achieve cleanliness and eliminate dirt: PM @narendramodi #WomenLedDevelopment,1
RT @BJP4Gujarat: I congratulate those who have been honoured today. They inspire the entire nation: PM @narendramodi #WomenLedDevelopment,1
RT @DrRutvij: In order to empower women in the society lot of schemes have been initiated by BJP Government #WomenLedDevelopment,1
RT @Nitinbhai_Patel: #WomenLedDevelopment https://t.co/IWBGIg7PBr,1
#WomenLedDevelopment https://t.co/RaFzN26oHg,1
For ensuring women safety in the state BJP government came up special helpline no 181. empowering women #WomenLedDevelopment,1
Lot of scheme for women empowerment in Guj by BJP govt. welfare of women #WomenLedDevelopment,1
"From education to women security, from financial aid to health measures BJP govt. has done it all. Empowering India #WomenLedDevelopment",1
PM Modi to address 6000 women sarpanchs from across the country in Gujarat on 8th March. Women power #WomenLedDevelopment,1
"21 districts of Gujarat have been declared Open Defecation Free (ODF), as per the Guj govt. women leading the way #WomenLedDevelopment",1
"Out of 10 women to be felicitated by PM Modi today, one is a Gujarati lady. Future of India - Woman #WomenLedDevelopment",1
BJP government came up with concept of SakhiMandals for empowering women. Woman Determination #WomenLedDevelopment,1
Sakhi Mandal Yojna are women group &amp; are based on thrift and credit principles. Future of India - Woman #WomenLedDevelopment,1
BJP govt provides Bank loan credit for generating employment for Sakhi Mandal groups. saluting women #WomenLedDevelopment,1
"21 districts of Gujarat have been declared Open Defecation Free (ODF), as per the Guj govt. welfare of women #WomenLedDevelopment",1
BJP govt provides Bank loan credit for generating employment for Sakhi Mandal groups. women shining #WomenLedDevelopment,1
Swayamsiddhi Yojana - An integrated project for development and empowerment of women. Dynamic #WomenLedDevelopment,1
Lot of scheme for women empowerment in Guj by BJP govt. Skilled Women #WomenLedDevelopment,1
BJP government has always focused on women development. Future of India - Woman #WomenLedDevelopment,1
State gives ample opportunity to the women entrepreneurs and they have achieved remarkable Sales. Women power #WomenLedDevelopment,1
BJP government has done a lot for the education of the girl child. Dynamic #WomenLedDevelopment,1
Opal will play a key role in giving impetus to downstream industries. . Empowering Gujarat #GujaratOnFastTrack,1
This bridge is the third bridge on the river Narmada in Bharuch. Empowering Gujarat #GujaratOnFastTrack,1
OPaL is the single-largest petrochemical complex in India producing 1.9 MMT. Inclusive Growth #GujaratOnFastTrack,1
"As the power house were made functional, the water inflow in the Narmada dam increased. Transforming the lives #GujaratOnFastTrack",1
It has 10 Y shaped towers and each tower is 18.5 metres high. Inclusive Growth #GujaratOnFastTrack,1
There are 216 yellow cables on 9 spans. Each cable is 25-40 meter long. . Gujarat talks progress #GujaratOnFastTrack,1
"OPAL generates a direct employment for nearly 1000 employees &amp; indirectly engages around 20,000. overall inclusion #GujaratOnFastTrack",1
"OPAL generates a direct employment for nearly 1000 employees . Surplus power, it's Gujarat #GujaratOnFastTrack",1
OPAL will alter the polymer market dynamics with quality production options. Gujarat talks progress #GujaratOnFastTrack,1
"OPAL generates a direct employment for nearly 1000 employees . Progress &amp; Peace, it's Gujarat #GujaratOnFastTrack",1
"A four lane bridge over Narmada river will also be inaugurated by PM Narendra Modi. Women Safety, it's Gujarat #GujaratOnFastTrack",1
NH8 is the busiest route and this bridge will help in diverting the traffic . Inspiring india's growth #GujaratOnFastTrack,1
PM Narendra Modi inaugurates the new bridge built over Narmada river. . Social Empowerment #GujaratOnFastTrack,1
Bombay-delhi corridor trade to be easy with Bharuch bridge . Gujarat talks progress #GujaratOnFastTrack,1
Bombay-delhi corridor trade to be easy with Bharuch bridge . overall inclusion #GujaratOnFastTrack,1
This facility produces 1.9 Million tons per annum of polymer and chemicals. Holistic development #GujaratOnFastTrack,1
RT @Nitinbhai_Patel: #TransformingSTATE #TransformingINDIA #GujaratOnFastTrack https://t.co/Ey9xkBRq4f,1
RT @Nitinbhai_Patel: #TransformingSTATE #TransformingINDIA #GujaratOnFastTrack https://t.co/RRRA2Rqiyv,1
RT @Nitinbhai_Patel: #TransformingSTATE #TransformingINDIA #GujaratOnFastTrack https://t.co/KxMpr7vadL,1
Military might: Here's how India and Pakistan's militaries stack up https://t.co/LXQ47CFhN5 https://t.co/TRQjsJ81pa,1
"After fight on dating app, woman threatens to blow up President House https://t.co/vcXZ2Mp3Ja via @TOIDelhi https://t.co/tSbfRHfOBa",1
Assam hooch tragedy: Death toll rises to 35 https://t.co/C3YKkvfaVm via @TOICitiesNews,1
"Desi state-of-art radar for Tejas under trials, could replace Israeli product https://t.co/r5LQMv7pn9",1
"In last 5 years, 3.35L service voters added to electoral rolls https://t.co/tG97EUGiY7 https://t.co/gdpx6GHVnJ",1
SC to hear on February 26 pleas seeking review of Rafale verdict https://t.co/TAJyT8eXqW https://t.co/33pyS24e80,1
"#IPL2019 #KKR

I am in a good place right now, says fit-again @robbieuthappa 

Read: https://t.co/ORmviY4KUy https://t.co/MWBoRqDwGK",1
Yuva Sena activists who attacked Kashmiri students in Yavatmal sacked https://t.co/lOisRSoN0V via @TOICitiesNews,1
"Prime Minister @narendramodi arrives in Delhi after his two-day visit to Seoul, South Korea

Picture credits: ANI https://t.co/xaP6HitLTS",1
"Why it took UNSC a week to condemn #PulwamaTerrorAttack 
https://t.co/3Q6FPvFZwR https://t.co/VVPsVW2Mv8",1
INX Media: CBI to file chargesheet against P Chidambaram https://t.co/pAPJsw5BUe https://t.co/mbTvaBSQ0f,1
Nokia 6.1 Plus gets a new variant https://t.co/xxPNTIgcgE via @gadgetsnow https://t.co/GtfA9692QZ,1
"Pakistan won't get a drop of water if it exports terror: @nitin_gadkari 
https://t.co/YTQEGRwsfI https://t.co/8nlFvbtDpv",1
"#ISSFWC #ISSFWorldCup

ISSF World Cup 2019, Delhi: All You need to know

READ: https://t.co/ssUW2VvScO https://t.co/YMjPgVX6PZ",1
"Amit Shah attacks 'mahagathbandhan', hits out at LDF, UDF in Kerala https://t.co/4wlXz409x4 https://t.co/7c2Pse5U9c",1
Mention of JeM in UNSC statement only in general terms not a judgment: China https://t.co/kaPqYiE05W via @TOIWorld https://t.co/bt6VxsQqer,1
"South Korean kids sing 'Vaishnav Jan to' to honour PM Modi on receiving #SeoulPeacePrize 
https://t.co/QnsKZRvTSw https://t.co/VU2nYIzyyz",1
UGC writes to varsities across country to ensure safety of Kashmiri students https://t.co/X3k3xsMgwR https://t.co/aQE1oRTESX,1
"Kangana Ranaut trolled for riding a mechanical horse during Manikarnika, sister takes on haters via @etimes 

https://t.co/4s5Dp2UEH5",1
"Saudi crown prince meets Chinese president, bags oil deal https://t.co/Kx5YHvK1Bp via @TOIWorld",1
"Amit Shah lambasts DMK-Congress combine, says its synonymous with corruption https://t.co/A8Zqu0Iv4t https://t.co/U0uF6B3K9G",1
"#INDWvsENGW 

First time I've taken three wickets in one over in ODIs: Ekta Bisht 

Read: https://t.co/22mpWzGYdI https://t.co/wAMeMbocWQ",1
"It's intriguing Congress needs lessons on national security: @arunjaitley 
https://t.co/GRMycGFSps https://t.co/PGCPeKmiCZ",1
HAL delivers first three Dhruv helicopters to Indian Army https://t.co/W8Dv4VEIBy https://t.co/Buf1qxtAro,1
EC asks Delhi police to investigate 'fake news' about online voting rights to NRIs https://t.co/nnZkFgai1a https://t.co/34ANj5g8u7,1
"EXCLUSIVE! @ajaydevgn reacts on @mangeshkarlata being upset with the remixed version of #Mungda song! via @etimes

https://t.co/eUrEeAq8nI",1
Father of Alabama woman who joined Islamic State sues over citizenship https://t.co/SD9POpzRCa via @TOIWorld https://t.co/uJIygdnMax,1
Railways to run special train to Statue of Unity from March 4 https://t.co/Ne6wPnCJpX https://t.co/PrHQVvdoyq,1
Around 200 US troops to remain in Syria after pullout: White House https://t.co/7T89ZC5cBZ via @TOIWorld https://t.co/2s0MSb3RXS,1
"#Update | Two terrorists killed in Sopore encounter, reports ANI quoting J&amp;K police",1
Excess land around disputed site in Ayodhya not part of case: BJP https://t.co/CFhTb6k7wD https://t.co/QP2WHgr9LP,1
Pak says not concerned over India's plan to stop flow of water https://t.co/iE7AOyE8za https://t.co/Q0wN3RYJSJ,1
"#Alert | France says killed senior Al-Qaeda commander in Sahel, reports AFP",1
Assam hooch tragedy: Death toll rises to 22 https://t.co/C3YKkvfaVm via @TOICitiesNews,1
"#KareenaKapoorKhan's futuristic sunglasses is sure to grab your attention via @etimes 

https://t.co/okqeyoHSSP",1
Renewed US sanctions on Iran revive fortunes of a bank https://t.co/05MZHCrCWn via @TOIBusiness https://t.co/9tRf7nC2T0,1
"Got a stalker on WhatsApp? Now you can file a complaint with DoT  

Read: https://t.co/OJXrGx4o6w https://t.co/Z72NHgGPcR",1
Ayushman Bharat CEO says over 12 lakh people availed free treatment under scheme https://t.co/RCDrZg3D3Q https://t.co/cYCxWmqD5Z,1
".@BoneyKapoor is reportedly set to auction #Sridevi 's kota sari for a charitable cause

Via @etimes

https://t.co/xhUnLxhYuo",1
Pilot drinking delays Japan plane despite new rules https://t.co/0xCMOMnnoW via @TOIWorld https://t.co/0KfczfATdV,1
"Not getting enough number of women for leadership roles: @kiranshaw 
https://t.co/F5ODidqbSA via @TOIBusiness https://t.co/CYvZgwwQu3",1
"15 dead, 30 fall ill after consuming spurious liquor in Assam https://t.co/ttcPOJrmVs via @TOICitiesNews https://t.co/YHD2nMsbBD",1
"15 dead, 30 fall ill after consuming spurious liquor in Assam https://t.co/ttcPOJrmVs via @TOICitiesNews https://t.co/1uIzdX0YVp",1
"Blood shed by jawans of #Pulwama will not go in vain: @AmitShah 
https://t.co/xH7gbVkcPc https://t.co/fjIRSmuxzi",1
"Magnitude 7.7 quake strikes southeast of Ambato, Ecuador https://t.co/s3xfrN8pkH via @TOIWorld https://t.co/0rReTjoMhj",1
Myanmar's Suu Kyi courts investment for strife-torn Rakhine state https://t.co/xMRI4UYbhl via @TOIWorld https://t.co/cHLrt7nJGg,1
"China's opposition to mentioning of terrorism delayed UNSC statement on #Pulwama  

READ: https://t.co/EF5mXFdduR https://t.co/ty7Zjqegnk",1
"Looking for an instant facial? Invest in these face masks!

via @MissKyra12

https://t.co/s1JTPgamoo",1
Worli businessman gets 3 years for sexually harassing his 18-year-old staffer https://t.co/vvXkBw0bTa via @TOIMumbai,1
PM must say what he was doing in initial 2 hours after Pulwama attack: Congress https://t.co/4y8X3NA4Qy https://t.co/e417YKDgnX,1
"#JustIn | Pakistan army says preparing to defend against any Indian attack, warns of a 'full spectrum' response, reports Reuters",1
Houses for all if Delhi gets full statehood: CM @ArvindKejriwal Kejriwal https://t.co/vGA1uxZXbe via @TOIDelhi https://t.co/80N1GeUQ5K,1
"These hair oils will make your hair longer and stronger

via @MissKyra12

https://t.co/ihABwl3mFG",1
"Delhi court extends interim bail to Rajiv Saxena till Feb 25 in the Rs 3,600-crore AgustaWestland money-laundering case, reports PTI",1
"Now, pacemakers that are powered by heartbeats https://t.co/TkEdp7PCIB https://t.co/K0UtoQgQw0",1
"How Puma became the #1 sportswear brand in India

Read: https://t.co/lreJIAkOqD https://t.co/F4suKU7Lf1",1
"Acquitted earlier, Kerala teacher held for sex abuse again https://t.co/7sdYJbIqC9 via @TOICitiesNews",1
2 Kolkata giraffes to travel 1500 km to Hyderabad https://t.co/vPXR7BZSoX via @TOIHyderabad,1
"Here's how you can show your boyfriend that you love him

via @MissKyra12

https://t.co/S5NeWn9co7",1
BJP and PM @narendramodi want development of every area of Tamil Nadu: @AmitShah https://t.co/Cyd1iEoke8,1
PM @narendramodi asks global community to 'unite and act' to eradicate terror networks https://t.co/mygwUCI1mU https://t.co/VZvSxMRkME,1
Pulwama attack: Pakistan to stay on FATF 'grey list' for terror financing https://t.co/22VXxbsyQx,1
"These essential oils are perfect for dry feet

via @MissKyra12

https://t.co/Sq30akMWul",1
"DMDK will join alliance led by AIADMK, says @PonnaarrBJP https://t.co/AOMhtyDY3f via @TOICitiesNews https://t.co/qZyz0qGMDr",1
Man killed by family astrologer over a land dispute https://t.co/zs5g3iwajr via @TOILucknow https://t.co/hKRXDJX7N0,1
"In SP-BSP pact, Mayawati gets what she wanted https://t.co/ZH6dqJkewL via @TOILucknow https://t.co/9l1k6vN2gI",1
"These K-beauty sleeping masks will work on your skin as you sleep

via @MissKyra12

https://t.co/3D8c33P2ny",1
"Masood Azhar, terrorist at the heart of the Kashmir crisis https://t.co/JeifwQpsoy https://t.co/0t05sBghSV",1
Getting abusive messages on WhatsApp? You can now complain to DoT https://t.co/3I1sYIkxbu via @gadgetsnow,1
"15 tea garden workers died after consuming spurious liquor, 11 ill https://t.co/K31wBUn080 via @TOICitiesNews https://t.co/NAGPaSsi2n",1
UP ATS arrests two suspected Jaish-e-Mohammad operatives https://t.co/eWcgJ7oiqE https://t.co/HJVtWPdYYq,1
"Vande Bharat Express runs over bull in Etawah district, delayed again https://t.co/2U9KlTg8HA via @TOICitiesNews",1
"Bitter gourd has many health benefits

via @MissKyra12

https://t.co/gOhW0DPSK6",1
Ex-SP linked to Pathankot case gets 10-year jail term for rape https://t.co/d9leXbkVr9 via @TOICitiesNews https://t.co/a64ynXLDOA,1
The good side of fall in credit growth https://t.co/sgXzUxFxjI via @TOIBusiness https://t.co/SpVnY4vn68,1
".@priyankachopra records hubby @nickjonas singing @ladygaga 's Oscar-nominated song #Shallow 

via @etimes 

https://t.co/u4KyPSqKS5",1
J&amp;K govt moves SC seeking transfer of 7 Pakistani terrorists from Jammu jail to Tihar https://t.co/xFUT683J4v https://t.co/PHTQ8vVZ4K,1
".@aliaa08 's then and now picture with her friends is simply too sweet to miss!

via @etimes 

https://t.co/pAKzbVhHRR",1
"Try these beauty products that contain charcoal

via @MissKyra12

https://t.co/rpxdAAiKH9",1
Military might: Here's how India and Pakistan's militaries stack up https://t.co/LXQ47CWSED https://t.co/9AQ82pdbcD,1
"Telangana Budget 2019-2020 highlights: Revenue expenditure estimated at Rs 1,32,629 crore https://t.co/pFiIEBese1 via @TOIHyderabad",1
47% of women find Delhi commute unsafe https://t.co/vp8lgTkHEv via @TOIDelhi https://t.co/CDnfvRyPAg,1
"Security of Pakistan, Kashmir inmates in Tihar tightened https://t.co/gV7JoANcZj via @TOIDelhi https://t.co/fZoAgWEXNy",1
"Avoid the flu by implementing these simple habits

via @MissKyra12

https://t.co/yNVV8a9qRk",1
"Return home or you'll be killed, Kashmiri students told in Maharashtra town https://t.co/E0wj6qSDwU via @TOICitiesNews",1
"The soulful title track of #MerePyarePrimeMinister is simply heartwarming

via @etimes 

https://t.co/uKDwWwEO1j",1
PM @narendramodi receives #SeoulPeacePrize for 2018 https://t.co/ykETKn2ig5 https://t.co/IOddUj1RTw,1
2019 general elections could be world's most expensive: US-based Expert https://t.co/4EB2sMxIxD https://t.co/eoD33eDppk,1
"These bath oils will make your baths even more relaxing

via @MissKyra12

https://t.co/ybgc0znYrp",1
"PM @narendramodi awarded the #SeoulPeacePrize 

(Pics: ANI)

LIVE updates: https://t.co/xofObzDBlX https://t.co/Dv029Ux6A8",1
"After fight on dating app, woman threatens to blow up President House https://t.co/vcXZ2MGEAI via @TOIDelhi https://t.co/0CjMBZJq57",1
"SC directs chief secretaries, DGPs of 11 states to take action against assault on Kashmiris https://t.co/jdA2FdomTO",1
"Oakridge's international deal: Hong Kong firm buys it for nearly Rs 1,600 crore https://t.co/QUTwlrfbOG via @TOIHyderabad",1
Xiaomi India head spotted checking out Samsung store in New Delhi https://t.co/MFrw6mr9KP via @gadgetsnow,1
"Is this the reason Sara Ali Khan moved out of her house? Find out on @etimes

https://t.co/ql1ZO9bC3A",1
".@priyankachopra and @nickjonas attended Sophie Turner's 23rd birthday bash via etimes

https://t.co/WPlZRxC4KM",1
"How Chennai diver found stolen Navy jet, 55 yrs after grandfather rescued 'pilot' 

Read: https://t.co/AsI2OV1nOK https://t.co/fLsxwOsTjW",1
India and Saudi agree to set up comprehensive security dialogue https://t.co/ZF1xiLa1Cc https://t.co/TlQ24xAyp6,1
Will fully use our share of water going to Pakistan: @nitin_gadkari https://t.co/X4BZdlkNQR https://t.co/6378bqIJU8,1
"Amid attacks, SC to hear plea to protect Kashmiris https://t.co/qYRavSjfEr https://t.co/5ACmS6uKRB",1
".@deepikapadukone's was asked about her area of interest in politics via @etimes 

https://t.co/caEb4tRVwx",1
"PM @narendramodi visits National Cemetery in Seoul, pays homage to fallen soldiers https://t.co/pmtruK248u https://t.co/8vnkN8bN1H",1
CBI issues lookout circular against former ICICI Bank CEO Chanda Kochhar https://t.co/0XCzfc6DVz  via @TOIBusiness https://t.co/AInKFN10Ut,1
"Robots to clean sewers, septic tanks in Delhi? https://t.co/WmoRoAyDCr via @TOIDelhi",1
"The power couple spotted at a recent event held in the city via @etimes 

https://t.co/J2hrS45toc",1
"A political crisis in Sri Lanka last year led to the slowest economic expansion in 17 years, the central bank said.
https://t.co/VBrd1i4Sah",1
"The identities and affiliations of the slain terrorists are being ascertained: Report
https://t.co/BD9uc1x0ir",1
"The campus is believed to be the headquarters of the Jaish-e-Mohammed terror group.
https://t.co/LVGmNgeBoU",1
"Interestingly, however, the new All Prime Ministers' museum will not house Nehru
https://t.co/iie8pOPuSk",1
"China, which is a permanent member of the UNSC, downplayed the mention of the JeM in the scathing UNSC statement.
https://t.co/Bwx8UZqrV3",1
"#CowPolitics |  PM has stated he will not tolerate vigilantism: @SurabhiHodigere, Contributor, Swarajya https://t.co/HOp0MtdW57",1
"#CowPolitics |  @Asifbhamlaa, Political Analyst shares his views with #AtharKhan on @thenewshour. https://t.co/xLMueybQ8p",1
"#CowPolitics | In West Bengal, you have BJP trucking in goons from outside:  @GargaC, Political Analyst https://t.co/pSmbI8UR3u",1
"Mob rampage in Mamata raj but CM evades responsibility.

Is 'Didi' abdicating duty?

#CowPolitics https://t.co/xBDVCPb57v",1
"#StopDividingForces | The essence of the article is not targeting the forces:  @varnishant, Political Analyst https://t.co/p12nT1JhKP",1
